Date,Time,Type,Amount,Category,Description
2025-10-26,,expense,80000,Personal,motong baju
2025-10-26,,expense,47800,Food,pudding
2025-10-26,,expense,55000,Groceries,kopi jajan
2025-10-27,,expense,46000,Utilities,galon
2025-10-27,,expense,27000,Food,bubur
2025-10-28,,expense,147295,Groceries,sayur
2025-10-28,,expense,33100,Groceries,buah
2025-10-28,,expense,44000,Transportation,grab ke kantor
2025-10-28,,expense,23500,Transportation,grab pulang
2025-10-28,,expense,200000,Utilities,parkir member
2025-10-28,,expense,83465,Personal,cd
2025-10-29,,expense,23000,Transportation,grab ke kantor
2025-10-29,,expense,44000,Transportation,grab pulang
2025-10-30,,expense,21000,Transportation,grab ke kantor
2025-10-30,,expense,74675,Home,shopee
2025-10-31,,expense,21000,Transportation,grab ke kantor
2025-10-31,,expense,23500,Transportation,grab pulang
2025-11-01,,expense,121660,Groceries,protein
2025-11-01,,expense,92400,Groceries,buah
2025-11-01,,expense,85530,Groceries,dapur
2025-11-01,,expense,45000,Groceries,jajan
2025-11-01,,expense,82700,Groceries,rumah
2025-11-01,,expense,113950,Food,ayam goreng
2025-11-01,,expense,53280,Utilities,google one
2025-11-01,,expense,37000,Food,soto
2025-11-01,,income,16000000,Paycheck,telkomsel
2025-11-02,,expense,388000,Personal,parfum
2025-11-02,,expense,80000,Food,matcha
2025-11-02,,expense,40000,Food,onde
2025-11-02,,expense,60000,Home,sticker
2025-11-02,,expense,125000,Home,linen spray
2025-11-02,,expense,149000,Home,totebag
2025-11-02,,expense,153000,Food,bakmi gm
2025-11-02,,expense,4000000,Rent,kontrakan
2025-11-02,,expense,28000,Groceries,sayur
2025-11-02,,expense,42400,Groceries,shampoo
2025-11-02,,expense,80320,Gifts,celana mamah
2025-11-02,,expense,29000,Groceries,jajan
2025-11-03,,expense,21000,Transportation,grab ke kantor
2025-11-03,,expense,23500,Transportation,grab pulang
2025-11-03,,expense,430000,Zakat,kitabisa
2025-11-03,,expense,16000,Food,lekker
2025-11-03,,expense,15000,Food,gorengan
2025-11-03,,expense,110000,Gifts,patungan audina
2025-11-04,,expense,24000,Transportation,grab ke kantor
2025-11-04,,expense,23500,Transportation,grab pulang
2025-11-04,,expense,69430,Home,shopee
2025-11-04,,expense,64500,Food,tongseng
2025-11-05,,expense,23500,Transportation,grab ke kantor
2025-11-05,,expense,33500,Transportation,grab pulang
2025-11-05,,expense,57000,Groceries,sayur
2025-11-05,,expense,62000,Groceries,buah
2025-11-05,,expense,1047939,Utilities,ipl dan listrik air
2025-11-05,,expense,20000,Food,kopi
2025-11-06,,expense,20500,Transportation,grab ke kantor
2025-11-06,,expense,24000,Transportation,grab pulang
2025-11-06,,expense,37000,Food,ayam tangkap
2025-11-06,,expense,87500,Laundry,laundry
2025-11-06,,expense,45000,Food,kopi dan jajan
2025-11-07,,expense,34000,Food,ayam cabe ijo
2025-11-07,,expense,24000,Transportation,grab ke kantor
2025-11-07,,expense,35000,Transportation,grab pulang
2025-11-07,,expense,15000,Food,telor gulung
2025-11-08,,expense,200000,Utilities,emoney
2025-11-08,,expense,280665,Food,bakmi sedjuk
2025-11-08,,expense,125000,Personal,kerudung
2025-11-08,,expense,15000,Food,es teh
2025-11-08,,expense,197690,Groceries,dapur
2025-11-08,,expense,113260,Groceries,rumah
2025-11-08,,expense,23480,Groceries,jajan
2025-11-08,,expense,30840,Groceries,buah
2025-11-08,,expense,36320,Groceries,protein
2025-11-09,,expense,25000,Food,kopi
2025-11-09,,expense,5800,Groceries,bumbu
2025-11-09,,expense,90000,Food,soto
2025-11-09,,expense,46000,Utilities,galon
2025-11-09,,expense,55000,Laundry,sepatu
2025-11-09,,expense,25000,Food,kopi
2025-11-10,,expense,90000,Groceries,sayur protein
2025-11-10,,expense,23000,Food,jajan
2025-11-10,,expense,24000,Transportation,grab ke kantor
2025-11-10,,expense,27000,Transportation,grab pulang
2025-11-11,,expense,380952,Home,perintilan jpg
2025-11-11,,expense,43000,Home,tokped
2025-11-11,,expense,113907,Personal,kerudung
2025-11-11,,expense,5000,Food,air
2025-11-12,,expense,28500,Transportation,grab ke kantor
2025-11-12,,expense,31500,Transportation,grab pulang
2025-11-12,,expense,45000,Food,kopi
2025-11-12,,expense,59000,Groceries,sayur
2025-11-12,,expense,18000,Groceries,buah
2025-11-12,,expense,77000,Groceries,sayur
2025-11-12,,expense,120000,Sport,gym
2025-11-12,,expense,10000,Food,kopi
2025-11-13,,expense,34500,Transportation,otw gym
2025-11-13,,expense,24000,Transportation,grab ke kantor
2025-11-13,,expense,20500,Transportation,grab pulang
2025-11-13,,expense,17000,Food,tahu aci
2025-11-13,,expense,55000,Food,tiramissu
2025-11-13,,expense,150000,Groceries,sayur
2025-11-13,,expense,12000,Food,tahu aci
2025-11-14,,expense,96000,Food,kopi
2025-11-14,,expense,74800,Food,pisang
2025-11-14,,expense,260850,Utilities,wifi plk
2025-11-15,,expense,135500,Food,soto
2025-11-15,,expense,45000,Food,pocika jajan
2025-11-15,,expense,19000,Groceries,buah
2025-11-15,,expense,284760,Transportation,bensin
2025-11-15,,expense,289000,Food,bakmi gm
2025-11-15,,expense,100000,Food,maeko cheesecake
2025-11-15,,expense,35000,Food,jus
2025-11-16,,expense,250000,Gifts,rica rico
2025-11-16,,expense,200000,Gifts,amplop nikah
2025-11-16,,expense,105000,Food,cemilan kiloan
2025-11-16,,expense,35000,Transportation,cuci mobil
2025-11-16,,expense,15000,Groceries,sayur
2025-11-16,,expense,27000,Food,ayam 11 chicken
2025-11-17,,expense,142221,Home,shopee
2025-11-17,,expense,46000,Transportation,otw bassura
2025-11-17,,expense,325000,Personal,facial
2025-11-17,,expense,21000,Food,ayam 11 chicken
2025-11-17,,expense,24000,Groceries,sayur
2025-11-17,,expense,3000,Groceries,sabun
2025-11-17,,expense,12000,Groceries,jajan
2025-11-17,,expense,24000,Transportation,grab ke kantor
2025-11-17,,expense,23500,Transportation,grab pulang
2025-11-18,,expense,24000,Transportation,grab ke kantor
2025-11-18,,expense,37000,Transportation,grab pulang
2025-11-19,,expense,23000,Transportation,grab ke kantor
2025-11-19,,expense,23500,Transportation,grab pulang
2025-11-19,,expense,59000,Groceries,sayur
2025-11-19,,expense,20000,Groceries,jajan
2025-11-19,,expense,48740,Home,perintilan
2025-11-20,,expense,22000,Transportation,grab ke kantor
2025-11-20,,expense,55000,Groceries,sayur
2025-11-20,,expense,9000,Food,jajan
2025-11-20,,expense,10000,Food,kopi